ra1,dec1,ra2,dec2,name 
160.88375,-60.566667,167.1475,-58.975,Carina
160.88375,-60.566667,160.739167,-64.394444,Carina
153.434167,-70.038056,160.739167,-64.394444,Carina
153.434167,-70.038056,138.3,-69.717222,Carina
28.59875,63.67,21.454167,60.235278,Cassiopeia
14.177083,60.716667,21.454167,60.235278,Cassiopeia
14.177083,60.716667,10.127083,56.537222,Cassiopeia
2.294583,59.149722,10.127083,56.537222,Cassiopeia
173.945,-63.019722,173.690417,-54.264167,Centaurus
182.089583,-50.7225,173.690417,-54.264167,Centaurus
182.089583,-50.7225,187.01,-50.230556,Centaurus
190.379167,-48.959722,187.01,-50.230556,Centaurus
190.379167,-48.959722,208.885,-47.288333,Centaurus
204.971667,-53.466389,208.885,-47.288333,Centaurus
204.971667,-53.466389,210.955833,-60.373056,Centaurus
219.899583,-60.835278,210.955833,-60.373056,Centaurus
209.67,-44.803611,208.885,-47.288333,Centaurus
209.67,-44.803611,207.404167,-42.473889,Centaurus
218.876667,-42.157778,207.404167,-42.473889,Centaurus
218.876667,-42.157778,224.790417,-42.104167,Centaurus
207.37625,-41.687778,207.404167,-42.473889,Centaurus
207.37625,-41.687778,211.670833,-36.37,Centaurus
207.37625,-41.687778,202.76125,-39.4075,Centaurus
200.149167,-36.712222,202.76125,-39.4075,Centaurus
354.836667,77.6325,342.42,66.200556,Cepheus
354.836667,77.6325,322.165,70.560833,Cepheus
342.42,66.200556,322.165,70.560833,Cepheus
342.42,66.200556,332.71375,58.201111,Cepheus
319.645,62.585556,322.165,70.560833,Cepheus
319.645,62.585556,332.71375,58.201111,Cepheus
33.25,8.846667,37.039583,8.46,Cetus
41.235417,10.114167,37.039583,8.46,Cetus
41.235417,10.114167,44.92875,8.9075,Cetus
45.57,4.089722,44.92875,8.9075,Cetus
45.57,4.089722,40.825,3.235833,Cetus
38.96875,5.593333,40.825,3.235833,Cetus
38.96875,5.593333,37.039583,8.46,Cetus
39.870833,0.328611,40.825,3.235833,Cetus
39.870833,0.328611,34.83625,-2.9775,Cetus
39.890833,-11.872222,34.83625,-2.9775,Cetus
39.890833,-11.872222,41.030833,-13.858611,Cetus
38.021667,-15.244722,41.030833,-13.858611,Cetus
38.021667,-15.244722,26.017083,-15.9375,Cetus
10.8975,-17.986667,26.017083,-15.9375,Cetus
10.8975,-17.986667,4.857083,-8.823889,Cetus
10.8975,-17.986667,17.1475,-10.182222,Cetus
21.005833,-8.183333,17.1475,-10.182222,Cetus
21.005833,-8.183333,27.865,-10.335,Cetus
36.4875,-12.290556,27.865,-10.335,Cetus
36.4875,-12.290556,39.890833,-11.872222,Cetus
184.58625,-79.312222,158.867083,-78.607778,Chamaeleon
124.631667,-76.919722,158.867083,-78.607778,Chamaeleon
229.378333,-58.801111,220.626667,-64.975278,Circinus
230.844583,-59.320833,220.626667,-64.975278,Circinus
95.528333,-33.436389,94.137917,-35.140556,Columba
89.384167,-35.283333,94.137917,-35.140556,Columba
89.384167,-35.283333,87.74,-35.768333,Columba
84.912083,-34.074167,87.74,-35.768333,Columba
84.912083,-34.074167,82.802917,-35.470556,Columba
89.786667,-42.815278,87.74,-35.768333,Columba
197.497083,17.529444,197.968333,27.878056,Coma Berenices
186.734583,28.268333,197.968333,27.878056,Coma Berenices
284.070417,-42.710556,285.77875,-42.095278,Corona Australis
287.087083,-40.496667,285.77875,-42.095278,Corona Australis
287.087083,-40.496667,287.507083,-39.340833,Corona Australis
287.367917,-37.904444,287.507083,-39.340833,Corona Australis
287.367917,-37.904444,286.604583,-37.063333,Corona Australis
284.680833,-37.1075,286.604583,-37.063333,Corona Australis
284.680833,-37.1075,284.16875,-37.343333,Corona Australis
280.945417,-38.323611,284.16875,-37.343333,Corona Australis
280.945417,-38.323611,278.089167,-39.703889,Corona Australis
233.2325,31.359167,231.957083,29.105833,Corona Borealis
233.672083,26.714722,231.957083,29.105833,Corona Borealis
233.672083,26.714722,235.685833,26.295556,Corona Borealis
237.39875,26.068333,235.685833,26.295556,Corona Borealis
237.39875,26.068333,239.397083,26.877778,Corona Borealis
240.360833,29.851111,239.397083,26.877778,Corona Borealis
182.103333,-24.728889,182.53125,-22.619722,Corvus
183.951667,-17.541944,182.53125,-22.619722,Corvus
183.951667,-17.541944,187.46625,-16.515556,Corvus
188.596667,-23.396667,187.46625,-16.515556,Corvus
188.596667,-23.396667,182.53125,-22.619722,Corvus
167.914583,-22.825833,164.94375,-18.298889,Crater
169.835417,-14.778611,164.94375,-18.298889,Crater
169.835417,-14.778611,171.220417,-17.683889,Crater
167.914583,-22.825833,171.220417,-17.683889,Crater
176.190833,-18.350833,171.220417,-17.683889,Crater
176.190833,-18.350833,179.00375,-17.150833,Crater
174.170417,-9.802222,179.00375,-17.150833,Crater
174.170417,-9.802222,171.1525,-10.859444,Crater
169.835417,-14.778611,171.1525,-10.859444,Crater
186.649583,-63.099167,187.79125,-57.113333,Crux
183.78625,-58.748889,191.93,-59.688611,Crux
292.680417,27.959722,299.076667,35.083333,Cygnus
305.557083,40.256667,299.076667,35.083333,Cygnus
305.557083,40.256667,310.357917,45.280278,Cygnus
305.557083,40.256667,296.24375,45.130833,Cygnus
292.42625,51.729722,296.24375,45.130833,Cygnus
292.42625,51.729722,289.275833,53.368611,Cygnus
305.557083,40.256667,311.552917,33.970278,Cygnus
318.234167,30.226944,311.552917,33.970278,Cygnus
318.234167,30.226944,326.035833,28.742778,Cygnus
308.303333,11.303333,309.3875,14.595278,Delphinus
310.864583,15.074444,309.3875,14.595278,Delphinus
310.864583,15.074444,311.664583,16.124167,Delphinus
309.909583,15.911944,311.664583,16.124167,Delphinus
309.909583,15.911944,309.3875,14.595278,Delphinus
64.006667,-51.486667,68.499167,-55.045,Dorado
83.40625,-62.489722,68.499167,-55.045,Dorado
83.40625,-62.489722,88.525417,-63.09,Dorado
86.193333,-65.735556,88.525417,-63.09,Dorado
86.193333,-65.735556,83.40625,-62.489722,Dorado
172.850833,69.331111,188.370833,69.788333,Draco
211.097083,64.375833,188.370833,69.788333,Draco
211.097083,64.375833,231.2325,58.966111,Draco
240.472083,58.565278,231.2325,58.966111,Draco
240.472083,58.565278,245.997917,61.514167,Draco
257.196667,65.714722,245.997917,61.514167,Draco
257.196667,65.714722,275.264167,72.732778,Draco
288.8875,73.355556,275.264167,72.732778,Draco
288.8875,73.355556,297.043333,70.267778,Draco
288.13875,67.661667,297.043333,70.267778,Draco
288.13875,67.661667,268.382083,56.872778,Draco
263.066667,55.173056,268.382083,56.872778,Draco
263.066667,55.173056,262.608333,52.301389,Draco
269.151667,51.488889,262.608333,52.301389,Draco
269.151667,51.488889,268.382083,56.872778,Draco
317.585417,10.131667,318.620417,10.006944,Equuleus
320.723333,6.811111,318.620417,10.006944,Equuleus
320.723333,6.811111,318.955833,5.247778,Equuleus
317.585417,10.131667,318.955833,5.247778,Equuleus
69.545,-14.303889,77.286667,-8.754167,Eridanus
77.286667,-8.754167,76.9625,-5.086389,Eridanus
73.22375,-5.452778,76.9625,-5.086389,Eridanus
73.22375,-5.452778,71.375417,-3.254722,Eridanus
69.079583,-3.3525,71.375417,-3.254722,Eridanus
69.079583,-3.3525,55.812083,-9.763333,Eridanus
53.2325,-9.458333,55.812083,-9.763333,Eridanus
53.2325,-9.458333,48.958333,-8.819722,Eridanus
44.107083,-8.898056,48.958333,-8.819722,Eridanus
44.107083,-8.898056,41.275833,-18.5725,Eridanus
45.597917,-23.624444,41.275833,-18.5725,Eridanus
45.597917,-23.624444,49.879167,-21.757778,Eridanus
53.447083,-21.632778,49.879167,-21.757778,Eridanus
53.447083,-21.632778,56.712083,-23.249722,Eridanus
68.8875,-30.562222,56.712083,-23.249722,Eridanus
68.8875,-30.562222,66.009167,-34.016944,Eridanus
64.47375,-33.798333,66.009167,-34.016944,Eridanus
64.47375,-33.798333,57.36375,-36.200278,Eridanus
57.149583,-37.620556,57.36375,-36.200278,Eridanus
57.149583,-37.620556,49.982083,-43.069722,Eridanus
44.565417,-40.304722,49.982083,-43.069722,Eridanus
44.565417,-40.304722,40.166667,-39.855556,Eridanus
39.95,-42.891667,40.166667,-39.855556,Eridanus
39.95,-42.891667,36.74625,-47.703889,Eridanus
34.1275,-51.512222,36.74625,-47.703889,Eridanus
34.1275,-51.512222,28.989583,-51.608889,Eridanus
34.1275,-51.512222,24.42875,-57.236667,Eridanus
42.2725,-32.405833,48.017917,-28.986944,Fornax
101.3225,12.895556,109.523333,16.540278,Gemini
110.030833,21.982222,109.523333,16.540278,Gemini
110.030833,21.982222,106.027083,20.570278,Gemini
99.427917,16.399167,106.027083,20.570278,Gemini
110.030833,21.982222,113.980417,26.895833,Gemini
116.111667,24.398056,113.980417,26.895833,Gemini
116.32875,28.026111,113.980417,26.895833,Gemini
111.431667,27.798056,113.980417,26.895833,Gemini
111.431667,27.798056,107.785,30.245278,Gemini
113.65,31.888333,107.785,30.245278,Gemini
103.197083,33.961111,107.785,30.245278,Gemini
100.982917,25.131111,107.785,30.245278,Gemini
100.982917,25.131111,97.240833,20.212222,Gemini
100.982917,25.131111,95.74,22.513611,Gemini
93.719167,22.506667,95.74,22.513611,Gemini
93.719167,22.506667,91.03,23.263333,Gemini
328.482083,-37.365,331.52875,-39.543333,Grus
332.058333,-46.961111,331.52875,-39.543333,Grus
332.058333,-46.961111,337.3175,-43.495556,Grus
346.72,-43.520556,337.3175,-43.495556,Grus
346.72,-43.520556,347.59,-45.246667,Grus
340.667083,-46.884722,347.59,-45.246667,Grus
340.667083,-46.884722,332.058333,-46.961111,Grus
340.667083,-46.884722,342.13875,-51.316944,Grus
340.667083,-46.884722,345.22,-52.754167,Grus
245.48,19.153056,247.555,21.489722,Hercules
250.321667,31.603056,247.555,21.489722,Hercules
250.321667,31.603056,255.0725,30.926389,Hercules
262.684583,26.110556,255.0725,30.926389,Hercules
262.684583,26.110556,258.757917,24.839167,Hercules
262.684583,26.110556,266.614583,27.720556,Hercules
269.44125,29.247778,266.614583,27.720556,Hercules
269.44125,29.247778,271.885833,28.7625,Hercules
258.761667,36.809167,255.0725,30.926389,Hercules
258.761667,36.809167,259.417917,37.291667,Hercules
260.920833,37.145833,259.417917,37.291667,Hercules
260.920833,37.145833,269.063333,37.250556,Hercules
264.86625,46.006389,269.063333,37.250556,Hercules
258.761667,36.809167,250.724167,38.922222,Hercules
250.321667,31.603056,250.724167,38.922222,Hercules
248.525833,42.436944,250.724167,38.922222,Hercules
248.525833,42.436944,244.935,46.313333,Hercules
242.1925,44.935,244.935,46.313333,Hercules
242.1925,44.935,238.16875,42.451667,Hercules
45.903333,-59.737778,40.165,-54.55,Horologium
63.500417,-42.294444,40.165,-54.55,Horologium
129.689167,3.341389,130.80625,3.398611,Hydra
129.689167,3.341389,129.414167,5.703611,Hydra
131.694167,6.418889,129.414167,5.703611,Hydra
131.694167,6.418889,132.108333,5.837778,Hydra
130.80625,3.398611,132.108333,5.837778,Hydra
133.848333,5.945556,132.108333,5.837778,Hydra
133.848333,5.945556,138.59125,2.314167,Hydra
142.995417,-1.185,138.59125,2.314167,Hydra
142.995417,-1.185,142.287083,-2.768889,Hydra
141.896667,-8.658611,142.287083,-2.768889,Hydra
141.896667,-8.658611,147.869583,-14.846667,Hydra
151.28125,-13.064722,147.869583,-14.846667,Hydra
151.28125,-13.064722,152.647083,-12.354167,Hydra
156.5225,-16.836389,152.647083,-12.354167,Hydra
156.5225,-16.836389,162.40625,-16.193611,Hydra
173.250417,-31.857778,162.40625,-16.193611,Hydra
173.250417,-31.857778,178.2275,-33.908056,Hydra
197.26375,-23.118056,178.2275,-33.908056,Hydra
197.26375,-23.118056,199.730417,-23.171667,Hydra
29.6925,-61.569722,35.437083,-68.659444,Hydrus
39.8975,-68.266944,35.437083,-68.659444,Hydrus
39.8975,-68.266944,56.809583,-74.238889,Hydrus
6.437917,-77.254167,56.809583,-74.238889,Hydrus
309.391667,-47.291389,319.966667,-53.449722,Indus
313.7025,-58.454167,319.966667,-53.449722,Indus
313.7025,-58.454167,309.391667,-47.291389,Indus
333.9925,37.748889,337.622083,43.123333,Lacerta
337.3825,47.706944,337.622083,43.123333,Lacerta
337.3825,47.706944,337.822917,50.2825,Lacerta
335.89,52.229167,337.822917,50.2825,Lacerta
335.89,52.229167,336.129167,49.476389,Lacerta
337.3825,47.706944,336.129167,49.476389,Lacerta
146.462917,23.774167,148.190833,26.006944,Leo
154.1725,23.417222,148.190833,26.006944,Leo
154.1725,23.417222,154.992917,19.841667,Leo
151.833333,16.762778,154.992917,19.841667,Leo
151.833333,16.762778,152.092917,11.967222,Leo
168.56,15.429444,152.092917,11.967222,Leo
168.56,15.429444,177.265,14.571944,Leo
168.527083,20.523611,177.265,14.571944,Leo
168.56,15.429444,168.527083,20.523611,Leo
154.992917,19.841667,168.527083,20.523611,Leo
143.555833,36.3975,151.8575,35.244722,Leo Minor
163.327917,34.215,151.8575,35.244722,Leo Minor
163.327917,34.215,156.970833,36.707222,Leo Minor
151.8575,35.244722,156.970833,36.707222,Leo Minor
91.53875,-14.935278,89.10125,-14.167778,Lepus
86.73875,-14.821944,89.10125,-14.167778,Lepus
86.73875,-14.821944,83.1825,-17.822222,Lepus
87.830417,-20.879167,83.1825,-17.822222,Lepus
87.830417,-20.879167,86.115833,-22.448333,Lepus
82.06125,-20.759444,86.115833,-22.448333,Lepus
82.06125,-20.759444,83.1825,-17.822222,Lepus
82.06125,-20.759444,76.365417,-22.371111,Lepus
78.232917,-16.205556,76.365417,-22.371111,Lepus
78.232917,-16.205556,83.1825,-17.822222,Lepus
78.232917,-16.205556,79.89375,-13.176667,Lepus
79.99625,-12.315556,79.89375,-13.176667,Lepus
78.232917,-16.205556,78.307917,-12.941389,Lepus
78.074583,-11.869167,78.307917,-12.941389,Lepus
238.45625,-16.729444,233.881667,-14.789444,Libra
229.251667,-9.383056,233.881667,-14.789444,Libra
229.251667,-9.383056,222.719583,-16.041667,Libra
226.0175,-25.281944,222.719583,-16.041667,Libra
226.0175,-25.281944,233.881667,-14.789444,Libra
237.739583,-33.627222,241.818333,-36.755556,Lupus
240.030417,-38.396944,241.818333,-36.755556,Lupus
240.030417,-38.396944,237.739583,-33.627222,Lupus
240.030417,-38.396944,233.785417,-41.166944,Lupus
234.513333,-42.5675,233.785417,-41.166944,Lupus
234.513333,-42.5675,228.07125,-52.099167,Lupus
219.471667,-49.425833,228.07125,-52.099167,Lupus
220.4825,-47.388333,228.07125,-52.099167,Lupus
220.4825,-47.388333,216.545,-45.379444,Lupus
220.4825,-47.388333,224.632917,-43.133889,Lupus
230.342917,-40.6475,224.632917,-43.133889,Lupus
230.342917,-40.6475,230.451667,-36.261389,Lupus
230.342917,-40.6475,233.785417,-41.166944,Lupus
140.26375,34.3925,139.71125,36.8025,Lynx
136.6325,38.452222,139.71125,36.8025,Lynx
136.6325,38.452222,135.16,41.782778,Lynx
125.70875,43.188056,135.16,41.782778,Lynx
125.70875,43.188056,111.678333,49.211389,Lynx
104.31875,58.4225,111.678333,49.211389,Lynx
104.31875,58.4225,94.905833,59.010833,Lynx
279.234583,38.783611,281.193333,37.605,Lyra
283.625833,36.898889,281.193333,37.605,Lyra
283.625833,36.898889,284.735833,32.689444,Lyra
282.52,33.362778,284.735833,32.689444,Lyra
282.52,33.362778,281.193333,37.605,Lyra
70.76625,-70.931111,82.970417,-76.341111,Mensa
312.492083,-33.779722,315.322917,-32.257778,Microscopium
319.484583,-32.1725,315.322917,-32.257778,Microscopium
115.311667,-9.551111,122.148333,-2.983889,Monoceros
107.96625,-0.492778,122.148333,-2.983889,Monoceros
107.96625,-0.492778,97.204167,-7.032778,Monoceros
93.71375,-6.274722,97.204167,-7.032778,Monoceros
107.96625,-0.492778,95.942083,4.592778,Monoceros
92.24125,2.499444,95.942083,4.592778,Monoceros
176.401667,-66.728611,191.570417,-68.108056,Musca
189.295833,-69.135556,191.570417,-68.108056,Musca
189.295833,-69.135556,188.116667,-72.133056,Musca
176.401667,-66.728611,188.116667,-72.133056,Musca
246.79625,-47.555,240.80375,-49.229722,Norma
244.96,-50.155556,240.80375,-49.229722,Norma
244.96,-50.155556,246.79625,-47.555,Norma
244.96,-50.155556,243.369583,-54.630556,Norma
240.80375,-49.229722,243.369583,-54.630556,Norma
341.51375,-81.381667,216.72875,-83.667778,Octans
325.36875,-77.39,216.72875,-83.667778,Octans
341.51375,-81.381667,325.36875,-77.39,Octans
262.854167,-23.962778,257.594583,-15.724722,Ophiuchus
249.289583,-10.567222,257.594583,-15.724722,Ophiuchus
249.289583,-10.567222,244.580417,-4.6925,Ophiuchus
254.417083,9.375,244.580417,-4.6925,Ophiuchus
254.417083,9.375,263.73375,12.56,Ophiuchus
265.868333,4.567222,263.73375,12.56,Ophiuchus
265.868333,4.567222,257.594583,-15.724722,Ophiuchus
88.595417,20.276111,90.98,20.138333,Orion
93.01375,16.130556,90.98,20.138333,Orion
93.01375,16.130556,92.985,14.208889,Orion
91.892917,14.768333,92.985,14.208889,Orion
91.892917,14.768333,88.595417,20.276111,Orion
91.892917,14.768333,90.595833,9.6475,Orion
92.985,14.208889,90.595833,9.6475,Orion
88.792917,7.406944,90.595833,9.6475,Orion
88.792917,7.406944,83.784583,9.934167,Orion
81.282917,6.349722,83.784583,9.934167,Orion
81.282917,6.349722,72.46,6.961389,Orion
72.652917,8.900278,72.46,6.961389,Orion
72.652917,8.900278,73.724167,10.150833,Orion
72.801667,5.605,72.46,6.961389,Orion
72.801667,5.605,73.345,2.508056,Orion
74.637083,1.714167,73.345,2.508056,Orion
81.282917,6.349722,83.001667,-0.299167,Orion
84.053333,-1.201944,83.001667,-0.299167,Orion
84.053333,-1.201944,85.189583,-1.942778,Orion
88.792917,7.406944,85.189583,-1.942778,Orion
86.939167,-9.669722,85.189583,-1.942778,Orion
86.939167,-9.669722,78.634583,-8.201667,Orion
83.001667,-0.299167,78.634583,-8.201667,Orion
306.412083,-56.735,321.610833,-65.366111,Pavo
311.239583,-66.203056,321.610833,-65.366111,Pavo
311.239583,-66.203056,302.181667,-66.181944,Pavo
306.412083,-56.735,302.181667,-66.181944,Pavo
300.147917,-72.910556,302.181667,-66.181944,Pavo
300.147917,-72.910556,280.75875,-71.428056,Pavo
284.2375,-67.233611,280.75875,-71.428056,Pavo
284.2375,-67.233611,302.181667,-66.181944,Pavo
284.2375,-67.233611,283.054167,-62.1875,Pavo
275.806667,-61.493889,283.054167,-62.1875,Pavo
275.806667,-61.493889,272.145,-63.668333,Pavo
283.054167,-62.1875,272.145,-63.668333,Pavo
266.433333,-64.723889,272.145,-63.668333,Pavo
326.046667,9.875,332.55,6.197778,Pegasus
340.365417,10.831389,332.55,6.197778,Pegasus
340.365417,10.831389,341.673333,12.172778,Pegasus
346.190417,15.205278,341.673333,12.172778,Pegasus
346.190417,15.205278,3.309167,15.183611,Pegasus
346.190417,15.205278,345.94375,28.082778,Pegasus
2.097083,29.090556,3.309167,15.183611,Pegasus
2.097083,29.090556,345.94375,28.082778,Pegasus
340.750417,30.221389,345.94375,28.082778,Pegasus
340.750417,30.221389,332.306667,33.172222,Pegasus
342.500833,24.601667,345.94375,28.082778,Pegasus
342.500833,24.601667,341.632917,23.565556,Pegasus
331.752917,25.345,341.632917,23.565556,Pegasus
331.752917,25.345,326.16125,25.645,Pegasus
42.674167,55.895556,46.199167,53.506389,Perseus
51.080833,49.861111,46.199167,53.506389,Perseus
51.080833,49.861111,47.042083,40.955556,Perseus
46.294167,38.840278,47.042083,40.955556,Perseus
46.294167,38.840278,42.64625,38.318611,Perseus
51.080833,49.861111,55.73125,47.7875,Perseus
59.463333,40.010278,55.73125,47.7875,Perseus
59.463333,40.010278,59.74125,35.791111,Perseus
58.532917,31.883611,59.74125,35.791111,Perseus
58.532917,31.883611,56.079583,32.288333,Perseus
2.352917,-45.7475,6.570833,-42.306111,Phoenix
6.550833,-43.68,6.570833,-42.306111,Phoenix
2.352917,-45.7475,6.550833,-43.68,Phoenix
22.09125,-43.318333,6.550833,-43.68,Phoenix
22.09125,-43.318333,16.520833,-46.718611,Phoenix
17.09625,-55.245833,16.520833,-46.718611,Phoenix
6.550833,-43.68,16.520833,-46.718611,Phoenix
6.550833,-43.68,16.520833,-46.718611,Phoenix
22.812917,-49.072778,16.520833,-46.718611,Phoenix
22.812917,-49.072778,28.411667,-46.3025,Phoenix
28.411667,-46.3025,16.520833,-46.718611,Phoenix
86.82125,-51.066389,87.457083,-56.166667,Pictor
102.0475,-61.941389,87.457083,-56.166667,Pictor
15.704583,31.804444,19.866667,27.264167,Pisces
15.704583,31.804444,18.437083,24.583611,Pisces
15.704583,31.804444,18.437083,24.583611,Pisces
22.870833,15.345833,18.437083,24.583611,Pisces
22.870833,15.345833,26.348333,9.157778,Pisces
30.511667,2.763611,26.348333,9.157778,Pisces
30.511667,2.763611,28.38875,3.1875,Pisces
25.357917,5.4875,28.38875,3.1875,Pisces
25.357917,5.4875,22.54625,6.143889,Pisces
15.735833,7.89,22.54625,6.143889,Pisces
15.735833,7.89,12.0725,7.3,Pisces
5.149583,8.190278,12.0725,7.3,Pisces
5.149583,8.190278,359.827917,6.863333,Pisces
354.9875,5.626389,359.827917,6.863333,Pisces
354.9875,5.626389,355.511667,1.78,Pisces
351.733333,1.255556,355.511667,1.78,Pisces
351.733333,1.255556,349.29125,3.282222,Pisces
351.992083,6.378889,349.29125,3.282222,Pisces
351.992083,6.378889,354.9875,5.626389,Pisces
19.866667,27.264167,18.437083,24.583611,Pisces
344.412917,-29.622222,340.164167,-27.043611,Piscis Austrinus
330.209167,-28.453611,340.164167,-27.043611,Piscis Austrinus
330.209167,-28.453611,326.934167,-30.898333,Piscis Austrinus
332.536667,-32.548333,326.934167,-30.898333,Piscis Austrinus
332.536667,-32.548333,337.87625,-32.346111,Piscis Austrinus
337.87625,-32.346111,343.987083,-32.539722,Piscis Austrinus
121.885833,-24.304167,117.32375,-24.859722,Puppis
109.285833,-37.0975,117.32375,-24.859722,Puppis
109.285833,-37.0975,99.440417,-43.196111,Puppis
102.484167,-50.614722,99.440417,-43.196111,Puppis
102.484167,-50.614722,112.3075,-43.301389,Puppis
120.89625,-40.003333,112.3075,-43.301389,Puppis
